0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
1.0,0.4481557,0.5348804,0.4804219,0.8818379,0.76639223,0.6195578,0.5133618,0.9167596,0.84310347,0.43542784,0.4169052,0.4739933,0.44596922,0.5301021,0.43745825,0.46609077,0.4072495,0.38698655,0.5055091,0.38294122,0.48259172,0.3407575,0.5072077,0.45685813,0.5204899,0.5846229,0.42880118,0.21262176,0.45565805,0.29941586,0.33516026,0.37035334,0.39228067,0.36085656,0.41045746,0.44159305,0.52197725,0.4792514,0.34825388,0.31498286,0.31630647,0.50878716,0.3217362,0.27571076,0.40951088,0.33257157,0.43050307,0.40003464,0.37681687,0.33909404,0.27421385,0.31679025,0.32311618,0.30233473,0.37914103,0.30213544,0.31843886,0.41306204,0.35196033,0.35753188,0.42304176,0.34218365,0.42705676,0.36016065,0.36042786,0.35386348,0.39180166,0.44105676,0.33638063,0.3225485,0.26402903,0.2847306,0.34125942,0.32006782,0.33531722,0.19507489,0.4201267,0.35736072,0.38882208,0.45925814,0.42609245,0.33094674,0.33182555,0.45896882,0.39576256,0.3317801,0.4598059,0.44650185,0.3945881,0.31330004,0.34584248,0.30514085,0.3835485,0.4214253,0.28410956,0.3298819,0.4228067,0.37289518,0.3465895,0.3737118,0.349195,0.47434282,0.46449184,0.4351677,0.30154797,0.27253836,0.22251967,0.32240862,0.37352532,0.23369542,0.42245132,0.286576,0.4324829,0.33902442,0.42488402,0.24820757,0.15780419,0.30683422,0.4144929
0.4481557,1.0,0.27571887,0.40244275,0.49704874,0.40323243,0.794493,0.52812344,0.59208184,0.41780666,0.23983341,0.21972166,0.16914423,0.2236884,0.22813709,0.31175774,0.13544187,0.29598075,0.38595548,0.42702258,0.30582958,0.34792155,0.46650314,0.34446457,0.2982798,0.38203925,0.30540743,0.32153168,0.4840655,0.41775632,0.28347328,0.27920118,0.34126005,0.3271065,0.34546027,0.30546412,0.24964298,0.34290558,0.43850663,0.3242276,0.32809794,0.30425358,0.34494528,0.124355674,0.34346363,0.35670143,0.45062846,0.4099106,0.36937982,0.37123135,0.35601568,0.32684648,0.3994429,0.33736646,0.34096935,0.3995861,0.470395,0.2776877,0.4914135,0.31658652,0.40510783,0.3142268,0.46643075,0.4582354,0.4681896,0.23263276,0.31102908,0.2780889,0.4330142,0.3751508,0.19081192,0.17661136,0.16999745,0.47274184,0.22802189,0.14416277,0.08863321,0.3471487,0.4012403,0.3749943,0.29239303,-0.028556554,0.14448856,0.032275606,0.3211726,0.28275415,0.088682376,0.0390852,0.18097466,0.2914395,0.37324542,0.36481467,0.29832608,0.2496169,0.42313027,0.32084572,0.29976204,0.28387117,0.34527767,0.30002308,0.39937815,0.16682532,0.27369693,0.2624148,0.37478992,0.23422295,0.17822456,0.20193669,0.29369742,0.32803842,0.23970038,0.33390588,0.36474872,0.28993568,0.26170456,0.2602915,0.35825697,0.10248471,0.3060403,0.29858625
0.5348804,0.27571887,1.0000001,0.7779753,0.5329095,0.6126238,0.47631803,0.5832168,0.5063582,0.5676233,0.45601508,0.47641638,0.48817286,0.4681525,0.29211122,0.7857164,0.5811147,0.5064195,0.68381745,0.5569707,0.7170296,0.38691255,0.3755679,0.50495857,0.44398892,0.3998102,0.5509338,0.6257753,0.33882275,0.3297262,0.5542337,0.5463179,0.57583153,0.62302095,0.5810606,0.48520103,0.65676457,0.57690865,0.46914625,0.60632694,0.17398839,0.17710844,0.2838857,0.17729351,0.14717756,0.2736174,0.3810931,0.2330358,0.21121086,0.1731576,0.4485698,0.34440008,0.3328128,0.46900493,0.36871576,0.44151092,0.36113015,0.39701238,0.4464719,0.37976307,0.3764176,0.31220606,0.20298435,0.3046883,0.39823556,0.2643554,0.22217254,0.3198601,0.38878834,0.36398983,0.21564373,0.17797793,0.19832419,0.35085565,0.19560637,0.2837982,0.13154548,0.28843457,0.26856464,0.33996183,0.4000045,0.41134205,0.35556573,0.42274824,0.42278704,0.3490041,0.37543282,0.37131968,0.47512245,0.41460788,0.3765504,0.45414168,0.3952442,0.40989736,0.48538774,0.36212873,0.4133644,0.49714428,0.416301,0.4521254,0.36982387,0.36076313,0.44670796,0.444994,0.34646013,0.41536695,0.3375696,0.42490268,0.4117273,0.42919904,0.3571143,0.4545496,0.4153857,0.4870399,0.43402505,0.5039422,0.39608616,0.3177889,0.3900789,0.4773417
0.4804219,0.40244275,0.7779753,1.0,0.53309345,0.5250322,0.48656586,0.5410846,0.52517456,0.49971393,0.40905482,0.44350326,0.46158007,0.4179231,0.264501,0.6345186,0.48368695,0.39600798,0.58622706,0.5551339,0.68279195,0.422037,0.37593904,0.46917397,0.3784834,0.39421678,0.48874408,0.6890249,0.35725754,0.36941126,0.47757635,0.44189078,0.52110165,0.569479,0.5339989,0.47218347,0.54639804,0.526347,0.43298653,0.54853946,0.19331406,0.21104479,0.3333857,0.14135474,0.18985596,0.32316375,0.4803594,0.26110974,0.22491194,0.20363368,0.50818384,0.43046787,0.44016355,0.4967907,0.4544852,0.4891582,0.4915777,0.381766,0.564224,0.44802547,0.40785027,0.33341217,0.23755237,0.34871188,0.4696979,0.3285053,0.21584988,0.3367225,0.4120329,0.41097307,0.20948744,0.18635313,0.22447059,0.41787747,0.263065,0.32119992,0.15532768,0.31379595,0.29662582,0.39848584,0.39123467,0.3136725,0.36556512,0.35887367,0.4012892,0.3839174,0.34972584,0.2934993,0.3963081,0.41474193,0.44167906,0.40834355,0.40527213,0.45118898,0.48794538,0.4558177,0.5143889,0.5505641,0.46538764,0.45341522,0.46734074,0.35815382,0.43845335,0.4885334,0.4229289,0.43124595,0.36853355,0.41604704,0.42558163,0.47774994,0.3037766,0.44087362,0.40107036,0.4626814,0.39013702,0.49166328,0.36636263,0.2523809,0.3686957,0.44715232
0.8818379,0.49704874,0.5329095,0.53309345,0.9999999,0.71998966,0.65249914,0.5215039,0.80765605,0.80479574,0.3775254,0.39162558,0.4059926,0.3817928,0.455717,0.40306988,0.427178,0.365082,0.35794055,0.45106128,0.39488086,0.49274048,0.32815328,0.48121342,0.49229404,0.5484729,0.6768982,0.46541113,0.1819128,0.50952196,0.23373152,0.30180484,0.33416736,0.36514747,0.34705198,0.38181868,0.37638098,0.49320716,0.41916704,0.33026746,0.3642158,0.3534188,0.5332489,0.31713408,0.26618648,0.43095708,0.37636438,0.45037633,0.40034202,0.40260527,0.39415365,0.31912538,0.40731907,0.37414634,0.37167338,0.4508109,0.3626026,0.3258382,0.4730984,0.38531426,0.3742655,0.45579192,0.37635407,0.45711455,0.41357863,0.34592837,0.35177803,0.3603573,0.48637435,0.3341522,0.3244066,0.31448635,0.30134866,0.38079733,0.34378448,0.36347172,0.2479777,0.43750232,0.37749118,0.437721,0.37725818,0.37214375,0.30523992,0.3118961,0.37856057,0.32506818,0.2957885,0.36129656,0.37667295,0.35848463,0.3411792,0.39541715,0.3235257,0.4044683,0.42377883,0.3023251,0.34209225,0.4416827,0.38916254,0.35652047,0.38328955,0.26719984,0.41311797,0.46510264,0.3747917,0.31732953,0.2651212,0.2600149,0.34106833,0.38968757,0.23201755,0.44481808,0.30536026,0.45803905,0.32372826,0.43585807,0.26596516,0.16768971,0.33705387,0.42909706
0.76639223,0.40323243,0.6126238,0.5250322,0.71998966,0.9999999,0.50981015,0.5551953,0.74816865,0.77768016,0.4939898,0.4409238,0.49141368,0.43925902,0.51773125,0.6014605,0.7055596,0.5011237,0.5775566,0.49704146,0.4989047,0.4584672,0.37124342,0.50985473,0.47199202,0.50610006,0.59001786,0.5625751,0.35544312,0.46239012,0.5274109,0.53918177,0.5719786,0.61745596,0.5743756,0.5687454,0.58789104,0.6911919,0.6586004,0.5588438,0.2921573,0.3073471,0.4274127,0.27507603,0.28180856,0.4123262,0.4434108,0.36281532,0.33722982,0.3164572,0.3497127,0.28814209,0.3400635,0.372202,0.32168522,0.4349625,0.33692977,0.35624477,0.39887857,0.36395362,0.376198,0.43694597,0.36988673,0.38148662,0.35355133,0.35171822,0.3119375,0.30190685,0.43013048,0.34665376,0.329049,0.32224804,0.3335326,0.35165045,0.32931086,0.37272382,0.26338053,0.4265814,0.42219266,0.40808073,0.4574295,0.42227617,0.32123482,0.33845347,0.49295604,0.39066032,0.33009166,0.46096593,0.5139832,0.42760003,0.28622547,0.33726406,0.41618538,0.36955357,0.41294253,0.2555902,0.28622183,0.4191034,0.3804246,0.35507938,0.43426,0.37193298,0.51047295,0.43384638,0.4603071,0.38855588,0.30450147,0.3190557,0.33904144,0.43997833,0.33787376,0.46058965,0.34776643,0.47384766,0.40045547,0.4680244,0.31260994,0.21230502,0.33189744,0.4698078
0.6195578,0.794493,0.47631803,0.48656586,0.65249914,0.50981015,0.9999999,0.4922813,0.6022587,0.60467094,0.28897083,0.26923153,0.23008598,0.30959436,0.19690569,0.38317966,0.18878166,0.24074401,0.32436705,0.43496692,0.39751706,0.42305344,0.49963868,0.3046505,0.39493373,0.48296922,0.42732295,0.38788176,0.3709606,0.47038272,0.2250132,0.23365612,0.28168806,0.27200606,0.31840026,0.27474764,0.34855583,0.37589028,0.3633308,0.33673784,0.34543917,0.3153326,0.34674308,0.21086195,0.34318405,0.34978527,0.43556333,0.42465058,0.3646327,0.3719912,0.45066166,0.38819206,0.44308832,0.420106,0.4015499,0.3573131,0.35499662,0.36600822,0.56935483,0.4019477,0.38876668,0.315751,0.46044317,0.47172245,0.47588897,0.26011294,0.3400131,0.3378078,0.47517103,0.3311228,0.22408083,0.18077812,0.18778369,0.47269034,0.23743492,0.1661974,0.122968055,0.3540035,0.37942147,0.38136676,0.37907568,0.15523827,0.21448864,0.15499094,0.3725728,0.33341932,0.21076435,0.19050026,0.26813516,0.33896515,0.38723838,0.35044333,0.34770003,0.32559055,0.44151804,0.38906094,0.41771948,0.3771297,0.38671374,0.33323014,0.3601695,0.19733112,0.35660625,0.3220264,0.3644155,0.20247604,0.21012452,0.16745043,0.36209708,0.40389687,0.20019451,0.34711543,0.3580493,0.3049918,0.334,0.3597876,0.3287914,0.06616783,0.29067412,0.37744662
0.5133618,0.52812344,0.5832168,0.5410846,0.5215039,0.5551953,0.4922813,1.0000002,0.5806968,0.49884957,0.3114888,0.3489558,0.3257611,0.30300045,0.31969357,0.5720817,0.5101659,0.5177779,0.60867006,0.40504965,0.44751847,0.37303057,0.43168503,0.4993438,0.3641618,0.4223773,0.5226719,0.5682956,0.50859433,0.36678964,0.41082668,0.4223073,0.46245983,0.51520246,0.4444924,0.50403947,0.3933911,0.5102082,0.49512255,0.40248334,0.22822481,0.21361184,0.40297434,0.13523889,0.17320709,0.35977432,0.3884483,0.3114052,0.29096866,0.23697558,0.31332573,0.29266837,0.28908697,0.36758143,0.27021003,0.55160946,0.35877526,0.34685165,0.35187808,0.30713886,0.4693749,0.35267562,0.31879702,0.39114726,0.4458779,0.262409,0.2701079,0.25807363,0.47937354,0.4179573,0.17374684,0.13765219,0.17945673,0.38826662,0.17443855,0.2663089,0.080553815,0.32094356,0.3344995,0.34107643,0.3735184,0.20461643,0.2665955,0.29058743,0.40706122,0.36376905,0.26951405,0.2517373,0.41167146,0.3894639,0.34338918,0.5183128,0.43049031,0.37306276,0.52418566,0.27476928,0.28632736,0.4229321,0.4506427,0.3944825,0.47739685,0.25420126,0.49938,0.38042638,0.36594144,0.38553247,0.22988592,0.38650745,0.3749798,0.47171047,0.38832825,0.46410576,0.43248028,0.5485039,0.44079107,0.4525091,0.4451827,0.31240207,0.45761684,0.48594183
0.9167596,0.59208184,0.5063582,0.52517456,0.80765605,0.74816865,0.6022587,0.5806968,0.9999999,0.7754293,0.47004426,0.45569775,0.4883854,0.4540677,0.5368805,0.49428526,0.5150418,0.46784273,0.4839708,0.56300914,0.41624635,0.4983485,0.4175402,0.5451112,0.4501652,0.50579774,0.54399884,0.50804794,0.31713286,0.4970956,0.36710402,0.37295043,0.44023168,0.4664157,0.42434675,0.45667705,0.43064967,0.5721074,0.53951716,0.39129022,0.30126935,0.3179279,0.5159802,0.26465845,0.31121895,0.435508,0.39198616,0.42518088,0.4038155,0.36854678,0.36329696,0.31825,0.3664074,0.35031325,0.33475113,0.46286938,0.39668235,0.32578266,0.45498466,0.3764256,0.3723389,0.4206876,0.36320245,0.43978497,0.37865925,0.33105525,0.31654483,0.355902,0.4488106,0.37646922,0.3000988,0.24263182,0.28580824,0.3775698,0.31937626,0.35865465,0.15880448,0.41198218,0.37625143,0.39601177,0.46657693,0.36658373,0.337126,0.29272965,0.49207518,0.41402376,0.31084362,0.4300796,0.4449098,0.4189843,0.33018884,0.40658605,0.3346971,0.39414406,0.4776398,0.30120972,0.3272257,0.44857243,0.42148426,0.37779146,0.4690719,0.34890553,0.4997463,0.45257285,0.47714153,0.3459983,0.2967955,0.28261358,0.3552869,0.41234246,0.27216393,0.43321276,0.31025577,0.44301245,0.31978092,0.4333263,0.26863798,0.19836897,0.32844755,0.42730376
0.84310347,0.41780666,0.5676233,0.49971393,0.80479574,0.77768016,0.60467094,0.49884957,0.7754293,1.0000004,0.4847349,0.49224955,0.4930207,0.5099344,0.5555859,0.4989919,0.5051074,0.4576026,0.44105834,0.5411814,0.41389486,0.51428354,0.3622888,0.52408046,0.5285855,0.5708621,0.66205156,0.4597693,0.2188864,0.510355,0.37549707,0.40281406,0.4426017,0.4436935,0.41927278,0.43496546,0.49625558,0.57280713,0.5371305,0.3964281,0.3422492,0.32163963,0.4581345,0.3612681,0.27689713,0.37567672,0.35883796,0.38144845,0.35229394,0.33920383,0.35723588,0.30316502,0.3519629,0.3407372,0.31224662,0.41594428,0.3142172,0.36512488,0.43435618,0.35391206,0.37873507,0.43849745,0.37069023,0.4295799,0.37065548,0.37940294,0.3659771,0.35595122,0.48797116,0.2993505,0.33864525,0.2787051,0.3107374,0.3217414,0.3280617,0.30789307,0.25221202,0.42056233,0.3856849,0.40584356,0.4737927,0.45278084,0.37405062,0.37397587,0.4502056,0.388757,0.36305705,0.44723317,0.46894553,0.39696953,0.3232705,0.39253953,0.3292553,0.3962364,0.4174798,0.25763974,0.2927153,0.43066075,0.35888267,0.37519264,0.36633146,0.33294064,0.5208337,0.46137485,0.43393758,0.3305725,0.23897266,0.24470021,0.35376608,0.4246678,0.26488873,0.4696657,0.32458904,0.4804144,0.37087414,0.47480005,0.30457157,0.21259226,0.3762289,0.46486706
