0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1.0000001,0.4610432,0.32818225,0.44941103,0.36601412,0.32601538,0.57425666,0.43036082,0.56080633,0.35119247,0.41578367,0.26590502,0.23854278,0.39357433,0.36689708,0.31282783,0.28230992,0.16190808,0.29890922,0.28376052,0.47411466,0.22118154,0.50772345,0.46292523,0.20115533,0.38972178,0.17332736,0.44208646,0.47431996,0.20508142
0.4610432,1.0,0.7115335,0.62018627,0.7182564,0.643296,0.5528483,0.6450105,0.61201257,0.70237136,0.5240635,0.14509487,0.2587117,0.31040645,0.3269953,0.31365573,0.17939499,0.1618538,0.12387788,0.22192419,0.18623254,0.06783964,0.38053402,0.21495128,0.42648694,0.08647618,0.18359435,0.13119642,0.21986444,0.4504739
0.32818225,0.7115335,1.0000001,0.70021397,0.7588435,0.6388039,0.49566993,0.59108305,0.6101219,0.80227697,0.5223501,0.25248545,0.4164161,0.3896216,0.20053549,0.2749459,0.31464654,0.17507754,0.20028387,0.19402213,0.22719724,0.07580623,0.35507733,0.17888694,0.30486178,0.12466997,0.12528363,0.1732599,0.17185001,0.31298944
0.44941103,0.62018627,0.70021397,1.0000001,0.65282726,0.60368395,0.47221753,0.61797047,0.6898171,0.6629193,0.54820293,0.19178551,0.3141112,0.37063274,0.1763023,0.26788253,0.2703325,0.12425365,0.15541543,0.14466181,0.34911364,0.06454067,0.37333158,0.3201898,0.23226929,0.16089602,0.22089893,0.30347812,0.32705286,0.25732955
0.36601412,0.7182564,0.7588435,0.65282726,1.0,0.63300437,0.43443343,0.683742,0.64358914,0.8169377,0.5062223,0.23897061,0.32453495,0.38516855,0.1961445,0.2546873,0.30417997,0.17107195,0.21355629,0.20824994,0.22746411,0.119876646,0.34078586,0.173602,0.38516483,0.15016638,0.14397518,0.16227128,0.1693121,0.34534574
0.32601538,0.643296,0.6388039,0.60368395,0.63300437,1.0,0.4904264,0.829425,0.608424,0.64228046,0.39087516,0.083013415,0.29360017,0.24590844,0.18019493,0.2709285,0.109750174,0.16025865,0.07079234,0.1621192,0.21545604,0.10036055,0.345139,0.20832042,0.3002681,0.10093606,0.13041358,0.20344624,0.21809103,0.32940534
0.57425666,0.5528483,0.49566993,0.47221753,0.43443343,0.4904264,1.0000001,0.46163064,0.50236726,0.47711033,0.55113745,0.4014135,0.6022357,0.5432757,0.55916125,0.51003486,0.41644448,0.3507681,0.44903156,0.48754168,0.403487,0.33130237,0.36036754,0.34158033,0.18276453,0.31302243,0.32538578,0.3986121,0.3323748,0.15536462
0.43036082,0.6450105,0.59108305,0.61797047,0.683742,0.829425,0.46163064,0.99999994,0.7136049,0.6212947,0.5081836,0.19601439,0.3048289,0.31650025,0.28345022,0.37951586,0.24436182,0.23165907,0.16779232,0.26309162,0.30773813,0.18904862,0.39981037,0.28898463,0.38246167,0.18896088,0.23349166,0.2508748,0.2995482,0.38471264
0.56080633,0.61201257,0.6101219,0.6898171,0.64358914,0.608424,0.50236726,0.7136049,1.0,0.61525595,0.55930996,0.2523336,0.31407416,0.380951,0.23699823,0.30383092,0.2586549,0.11515366,0.21895848,0.222979,0.37809137,0.17262065,0.48623317,0.32575133,0.37480938,0.25952923,0.21263206,0.3186908,0.3426058,0.3534551
0.35119247,0.70237136,0.80227697,0.6629193,0.8169377,0.64228046,0.47711033,0.6212947,0.61525595,1.0,0.53334445,0.2419457,0.3136109,0.3919621,0.18919839,0.30926457,0.31868985,0.14902985,0.2273004,0.22519264,0.19183761,0.1273962,0.3311249,0.19344755,0.3459542,0.13614976,0.18352555,0.18232647,0.17185265,0.34575912
0.41578367,0.5240635,0.5223501,0.54820293,0.5062223,0.39087516,0.55113745,0.5081836,0.55930996,0.53334445,1.0000001,0.6056812,0.5926958,0.67375153,0.56510925,0.671468,0.5953493,0.4750889,0.6120474,0.63959706,0.47566056,0.36035514,0.4109123,0.42295247,0.32860622,0.36051288,0.40343502,0.40367612,0.40701687,0.29989707
0.26590502,0.14509487,0.25248545,0.19178551,0.23897061,0.083013415,0.4014135,0.19601439,0.2523336,0.2419457,0.6056812,0.99999994,0.56987995,0.69275975,0.6808872,0.61107427,0.8827819,0.7642968,0.866493,0.8013837,0.379597,0.53788894,0.10693136,0.19095308,0.1883748,0.49919713,0.28065798,0.33835,0.24515265,0.10090167
0.23854278,0.2587117,0.4164161,0.3141112,0.32453495,0.29360017,0.6022357,0.3048289,0.31407416,0.3136109,0.5926958,0.56987995,0.9999999,0.65958047,0.480264,0.5877537,0.6132276,0.50728637,0.54182637,0.56450444,0.22747378,0.21828534,0.13706495,0.1473044,0.13416156,0.25213227,0.18434636,0.22275606,0.13889939,0.08941836
0.39357433,0.31040645,0.3896216,0.37063274,0.38516855,0.24590844,0.5432757,0.31650025,0.380951,0.3919621,0.67375153,0.69275975,0.65958047,1.0000001,0.5885831,0.6163366,0.7311118,0.5762718,0.7294387,0.65321785,0.37773192,0.3950248,0.23054838,0.27200988,0.21914077,0.44018617,0.29307434,0.32279673,0.27910212,0.16487953
0.36689708,0.3269953,0.20053549,0.1763023,0.1961445,0.18019493,0.55916125,0.28345022,0.23699823,0.18919839,0.56510925,0.6808872,0.480264,0.5885831,1.0000001,0.5934569,0.6779189,0.6302812,0.69020677,0.78968763,0.3826218,0.56557,0.17236358,0.25123915,0.21176352,0.4194454,0.34549272,0.3262242,0.2916932,0.14956257
0.31282783,0.31365573,0.2749459,0.26788253,0.2546873,0.2709285,0.51003486,0.37951586,0.30383092,0.30926457,0.671468,0.61107427,0.5877537,0.6163366,0.5934569,1.0000001,0.58841926,0.5973666,0.61065745,0.75393856,0.33706522,0.42650074,0.22580892,0.40208855,0.30954543,0.3197789,0.42639634,0.25721917,0.47058535,0.24312226
0.28230992,0.17939499,0.31464654,0.2703325,0.30417997,0.109750174,0.41644448,0.24436182,0.2586549,0.31868985,0.5953493,0.8827819,0.6132276,0.7311118,0.6779189,0.58841926,1.0000001,0.7340347,0.8068073,0.7558119,0.36538726,0.5179605,0.11041668,0.17904152,0.13377222,0.48498595,0.26633492,0.29800457,0.20064434,0.048528343
0.16190808,0.1618538,0.17507754,0.12425365,0.17107195,0.16025865,0.3507681,0.23165907,0.11515366,0.14902985,0.4750889,0.7642968,0.50728637,0.5762718,0.6302812,0.5973666,0.7340347,0.99999994,0.72982866,0.71474266,0.219913,0.4479098,0.033526987,0.127765,0.18210359,0.35955548,0.2539789,0.24153988,0.13295704,0.109155186
0.29890922,0.12387788,0.20028387,0.15541543,0.21355629,0.07079234,0.44903156,0.16779232,0.21895848,0.2273004,0.6120474,0.866493,0.54182637,0.7294387,0.69020677,0.61065745,0.8068073,0.72982866,1.0000002,0.83955437,0.36935002,0.516666,0.1382452,0.23423025,0.121170305,0.4772498,0.3056116,0.35156214,0.22470178,0.032092996
0.28376052,0.22192419,0.19402213,0.14466181,0.20824994,0.1621192,0.48754168,0.26309162,0.222979,0.22519264,0.63959706,0.8013837,0.56450444,0.65321785,0.78968763,0.75393856,0.7558119,0.71474266,0.83955437,1.0000001,0.38545734,0.59590465,0.15271847,0.28621793,0.23337504,0.4880315,0.38866213,0.34150213,0.30225834,0.1289804
0.47411466,0.18623254,0.22719724,0.34911364,0.22746411,0.21545604,0.403487,0.30773813,0.37809137,0.19183761,0.47566056,0.379597,0.22747378,0.37773192,0.3826218,0.33706522,0.36538726,0.219913,0.36935002,0.38545734,1.0000002,0.5971842,0.64426786,0.68905956,0.24953905,0.67932683,0.48541617,0.7950554,0.6346456,0.24381648
0.22118154,0.06783964,0.07580623,0.06454067,0.119876646,0.10036055,0.33130237,0.18904862,0.17262065,0.1273962,0.36035514,0.53788894,0.21828534,0.3950248,0.56557,0.42650074,0.5179605,0.4479098,0.516666,0.59590465,0.5971842,1.0,0.22452152,0.39857602,0.23535089,0.64354444,0.5545235,0.4951893,0.3561451,0.22276846
0.50772345,0.38053402,0.35507733,0.37333158,0.34078586,0.345139,0.36036754,0.39981037,0.48623317,0.3311249,0.4109123,0.10693136,0.13706495,0.23054838,0.17236358,0.22580892,0.11041668,0.033526987,0.1382452,0.15271847,0.64426786,0.22452152,0.99999994,0.61801505,0.35911188,0.37261558,0.3021744,0.6033927,0.491966,0.40976596
0.46292523,0.21495128,0.17888694,0.3201898,0.173602,0.20832042,0.34158033,0.28898463,0.32575133,0.19344755,0.42295247,0.19095308,0.1473044,0.27200988,0.25123915,0.40208855,0.17904152,0.127765,0.23423025,0.28621793,0.68905956,0.39857602,0.61801505,1.0000001,0.42597768,0.5070288,0.72446764,0.6606145,0.78340435,0.3574447
0.20115533,0.42648694,0.30486178,0.23226929,0.38516483,0.3002681,0.18276453,0.38246167,0.37480938,0.3459542,0.32860622,0.1883748,0.13416156,0.21914077,0.21176352,0.30954543,0.13377222,0.18210359,0.121170305,0.23337504,0.24953905,0.23535089,0.35911188,0.42597768,1.0,0.31554613,0.49064928,0.21628518,0.2815095,0.82619596
0.38972178,0.08647618,0.12466997,0.16089602,0.15016638,0.10093606,0.31302243,0.18896088,0.25952923,0.13614976,0.36051288,0.49919713,0.25213227,0.44018617,0.4194454,0.3197789,0.48498595,0.35955548,0.4772498,0.4880315,0.67932683,0.64354444,0.37261558,0.5070288,0.31554613,1.0000001,0.48520797,0.6181201,0.36282167,0.20189145
0.17332736,0.18359435,0.12528363,0.22089893,0.14397518,0.13041358,0.32538578,0.23349166,0.21263206,0.18352555,0.40343502,0.28065798,0.18434636,0.29307434,0.34549272,0.42639634,0.26633492,0.2539789,0.3056116,0.38866213,0.48541617,0.5545235,0.3021744,0.72446764,0.49064928,0.48520797,1.0000001,0.45810688,0.5250628,0.38692182
