0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
1.0,0.9014426,0.91060925,0.90303695,0.8387186,0.9101698,0.9029472,0.9035946,0.8960344,0.93154,0.40176272,0.33688125,0.39132628,0.33243987,0.30734327,0.36652353,0.404649,0.35762885,0.28366116,0.3444927,0.41410857,0.3490317,0.49247018,0.38720024,0.4304181,0.41301408,0.4363973,0.3847161,0.40435788,0.43251735,0.40332475,0.36986753,0.32774812,0.3589479,0.34729198,0.4342976,0.39612752,0.35848165,0.4355244,0.33842355,0.46071997,0.5000351,0.51324844,0.4933432,0.5315607,0.45445228,0.47932485,0.44559237,0.50361,0.49121973,0.5145206,0.37020385,0.42555177,0.36140573,0.39353544,0.3572537,0.37630495,0.3614538,0.43372512,0.39759937,0.37503353,0.26315936,0.20792809,0.25407612,0.19476403,0.25916094,0.24049066,0.23134646,0.20709693,0.19231719,0.24894795,0.31213695,0.2972311,0.26464948,0.28371438,0.3030159,0.3188092,0.2928576,0.28252244,0.28061107,0.283346,0.3187295,0.3000742,0.30205172,0.33747986,0.2688418,0.3111563,0.34862992,0.32699215,0.27270144,0.28481767,0.35911226,0.35270116,0.29622617,0.29362425,0.31942594,0.28039214,0.32575995,0.33614165,0.28086513,0.32804012,0.36640388
0.9014426,0.99999994,0.9019867,0.8796972,0.82387495,0.8986039,0.8966656,0.902985,0.8794512,0.8619593,0.41436172,0.37946844,0.39781693,0.37675434,0.3592892,0.4256156,0.44153872,0.42771915,0.3451591,0.37992528,0.46357998,0.3631617,0.48392135,0.40122953,0.43171006,0.44254863,0.43695223,0.39233097,0.43186277,0.40457103,0.44998872,0.3761445,0.32254997,0.42521247,0.33837166,0.44980484,0.4145976,0.32671356,0.44094968,0.38002166,0.47893462,0.50337327,0.511467,0.5131328,0.5232981,0.48008457,0.4869192,0.46325666,0.51214373,0.47973794,0.5162981,0.41268834,0.45021492,0.41521126,0.40660566,0.4334207,0.39099538,0.4139493,0.44520566,0.41355827,0.35851005,0.26282346,0.22524545,0.23560162,0.26589313,0.29712617,0.23885714,0.2519652,0.23989207,0.175056,0.2568939,0.31915256,0.3018724,0.29651803,0.32662588,0.3123289,0.31808007,0.32705992,0.30687958,0.2627956,0.2864308,0.3844019,0.35148937,0.35863572,0.37385014,0.34430355,0.3330961,0.3752418,0.3285513,0.32877046,0.3480869,0.3852078,0.38105276,0.32913992,0.27125227,0.33940446,0.2914047,0.3472603,0.35006052,0.29932612,0.36435974,0.36443448
0.91060925,0.9019867,1.0000002,0.8910782,0.8241805,0.9172951,0.9244412,0.912535,0.90469164,0.8828847,0.41249323,0.35962513,0.39544398,0.34443027,0.31566498,0.38389435,0.39731884,0.37466517,0.32533616,0.3597777,0.462688,0.36660868,0.5064346,0.42857748,0.44605595,0.4479487,0.46071666,0.43339577,0.44550446,0.43097177,0.42248031,0.4129694,0.359127,0.39335853,0.38404158,0.432203,0.42570165,0.3529996,0.41267434,0.35810012,0.5461305,0.5723352,0.5829164,0.57164717,0.58831793,0.5513819,0.5408994,0.51765287,0.5764671,0.57961065,0.5780108,0.39875335,0.44134384,0.38558668,0.40745765,0.39524442,0.38405803,0.38513848,0.451709,0.39878833,0.36057842,0.27998826,0.2538352,0.26635817,0.24412358,0.29746562,0.28365573,0.27348083,0.24596855,0.23255832,0.26739383,0.33016616,0.32675397,0.3076659,0.32564494,0.34381002,0.32892865,0.31439725,0.3285514,0.2914681,0.29913804,0.3862681,0.35402888,0.36304137,0.4030472,0.32830524,0.32782578,0.37696898,0.36085182,0.34968647,0.33452156,0.39010572,0.40457508,0.36482972,0.3185305,0.37197092,0.3073246,0.3765656,0.3739205,0.31190905,0.37426758,0.38007277
0.90303695,0.8796972,0.8910782,1.0000001,0.8374048,0.8913,0.8713548,0.87122697,0.8763052,0.86670417,0.3938467,0.3632093,0.3846937,0.36447248,0.32858506,0.37221968,0.41511482,0.37325895,0.342997,0.35296717,0.4238679,0.342521,0.51366603,0.42565086,0.44969666,0.43483862,0.46152428,0.4181089,0.41911235,0.43543115,0.39250225,0.39780647,0.33569086,0.34916604,0.35858625,0.4474453,0.39858872,0.34474754,0.42310816,0.36661506,0.51682496,0.565787,0.5696713,0.55409056,0.58345056,0.52846146,0.5443625,0.50409675,0.55164045,0.53302616,0.5557878,0.3877854,0.44261783,0.38856694,0.39860862,0.37865785,0.3953627,0.38074696,0.43314496,0.42016858,0.3869264,0.27316394,0.23184517,0.24567445,0.21781017,0.25507262,0.2449234,0.24691992,0.23365556,0.21508482,0.2484146,0.32700974,0.3368888,0.29229477,0.3039131,0.32324836,0.31696877,0.29740146,0.31930715,0.2878519,0.3005803,0.33899066,0.31346363,0.3192672,0.3489926,0.2797289,0.3278796,0.34798422,0.32273173,0.3125113,0.31301904,0.3839215,0.37717038,0.3431483,0.29876798,0.34853345,0.29046482,0.35354662,0.37373522,0.30341974,0.35623407,0.3695615
0.8387186,0.82387495,0.8241805,0.8374048,0.99999994,0.8417279,0.82708263,0.8523473,0.8442925,0.81350076,0.31582123,0.36990213,0.3465478,0.3290449,0.31916118,0.3604427,0.3832528,0.35096776,0.282664,0.4422558,0.4087252,0.31294167,0.5004869,0.38988718,0.48209235,0.41541252,0.44701234,0.35389543,0.44057563,0.49294633,0.3571531,0.32978922,0.32046768,0.32861325,0.3070172,0.4603765,0.49934295,0.35717914,0.385405,0.3682665,0.53911793,0.48650768,0.49026367,0.5202309,0.51715726,0.4545487,0.5487244,0.49162745,0.5150552,0.46061778,0.5131271,0.40343574,0.4410067,0.38146728,0.5138641,0.3803069,0.42709792,0.37915993,0.4402412,0.41720313,0.3213013,0.29970193,0.2660452,0.29631227,0.23313048,0.28103006,0.24562572,0.36321595,0.26694158,0.14615755,0.29077715,0.3549152,0.28330216,0.32394752,0.24076335,0.33764094,0.25245363,0.30976757,0.33802497,0.32467943,0.33252108,0.3485145,0.36482662,0.45666173,0.32545146,0.2786058,0.34429047,0.33773494,0.35597736,0.32285887,0.33490333,0.39955267,0.47646093,0.3330588,0.27216387,0.28416893,0.31616908,0.29941264,0.38674077,0.29666466,0.37629378,0.30039823
0.9101698,0.8986039,0.9172951,0.8913,0.8417279,1.0000004,0.9082049,0.9131599,0.9007087,0.88497585,0.3678108,0.33260852,0.34262985,0.35721844,0.278992,0.3532651,0.37687624,0.3724046,0.30335224,0.32293323,0.39611873,0.31656238,0.48630318,0.41199738,0.4150438,0.43937126,0.41083464,0.37499395,0.40998194,0.38999644,0.39896244,0.36520347,0.3136338,0.35941696,0.3401006,0.41924143,0.3951593,0.32976738,0.38194543,0.32745644,0.47602338,0.5064328,0.5227723,0.52212775,0.54097456,0.4833282,0.493544,0.45965773,0.5061431,0.48696917,0.5193842,0.367313,0.41458547,0.3751143,0.37278694,0.36263958,0.355856,0.3529602,0.41121602,0.38181874,0.31863582,0.2392944,0.20666817,0.2227332,0.19607358,0.25552636,0.23255327,0.22320409,0.19978335,0.16957048,0.22210847,0.28959727,0.29517663,0.2764963,0.28118122,0.30228475,0.2893887,0.28141975,0.28817922,0.25941503,0.27710742,0.33796424,0.29605278,0.31183845,0.33551833,0.28143954,0.306801,0.32186258,0.30349323,0.281597,0.27690294,0.34789133,0.34596103,0.3410923,0.24662371,0.29346687,0.2766956,0.29896206,0.36125702,0.2447285,0.32131016,0.31754816
0.9029472,0.8966656,0.9244412,0.8713548,0.82708263,0.9082049,0.99999994,0.9221035,0.9012405,0.88014054,0.41046292,0.36824778,0.37041065,0.35597333,0.32635427,0.3963228,0.39799482,0.39919078,0.3383322,0.3573376,0.46415803,0.3719663,0.49074584,0.43427658,0.44831064,0.45947224,0.44557735,0.41651875,0.45084858,0.44032586,0.44418767,0.40467364,0.3391099,0.41416824,0.35408428,0.44237897,0.41762802,0.36380544,0.41964218,0.36249587,0.49772552,0.5198366,0.52859366,0.5299741,0.5349658,0.49381667,0.49591058,0.49816456,0.53944147,0.51145875,0.5388039,0.40089175,0.43943384,0.39495617,0.39658552,0.40854505,0.3824551,0.39119172,0.45045537,0.4033671,0.36376008,0.30073118,0.26027098,0.28487906,0.25942248,0.33015162,0.29043922,0.27366734,0.26762614,0.20178705,0.2776767,0.3261574,0.3153039,0.2997198,0.31741783,0.33560964,0.32603472,0.3220966,0.31713495,0.28872558,0.30129156,0.38414297,0.3560475,0.34641394,0.40086055,0.33913618,0.33941162,0.3855461,0.36700633,0.34386888,0.3429501,0.38876164,0.386668,0.37390187,0.29192394,0.3347184,0.32480478,0.35379285,0.37861967,0.3020589,0.37960708,0.36424336
0.9035946,0.902985,0.912535,0.87122697,0.8523473,0.9131599,0.9221035,1.0000001,0.9017106,0.8805645,0.3354155,0.29521516,0.30980822,0.32689953,0.26452336,0.34379405,0.34919667,0.3413067,0.26806745,0.31211156,0.4184814,0.33003235,0.46741897,0.40139338,0.41883385,0.44062284,0.42450824,0.37021554,0.4327452,0.41138282,0.40796745,0.3555955,0.31460723,0.34554943,0.3141404,0.4010102,0.40588987,0.32673365,0.3849763,0.3219835,0.51510274,0.5181403,0.5235574,0.55991364,0.5401105,0.49015084,0.49749976,0.4826987,0.51891863,0.4974426,0.5345979,0.3655144,0.38922653,0.35303265,0.38153976,0.34981596,0.36464533,0.3438674,0.40532833,0.3555529,0.30885705,0.22602156,0.21266231,0.2138486,0.1831502,0.25704363,0.21824177,0.21918231,0.19795524,0.13345271,0.21871397,0.24647045,0.26533946,0.23229177,0.24259377,0.2502513,0.24487726,0.24096279,0.23949787,0.2159295,0.22296427,0.3329767,0.29645574,0.31165683,0.32412454,0.26435888,0.28763738,0.32722747,0.29975808,0.26979664,0.27323893,0.31496745,0.33100182,0.28685826,0.20646504,0.2641724,0.22967896,0.29122964,0.3109386,0.21501997,0.296699,0.2937151
0.8960344,0.8794512,0.90469164,0.8763052,0.8442925,0.9007087,0.9012405,0.9017106,0.99999994,0.87252337,0.33879697,0.30348504,0.30824137,0.3274223,0.27279177,0.32713187,0.34891883,0.36788508,0.3027983,0.3263306,0.38569438,0.3326085,0.4415701,0.40021366,0.38292965,0.43909225,0.40689093,0.36120933,0.39219663,0.38927302,0.3989281,0.36477882,0.3047725,0.32909405,0.3086129,0.37526682,0.39589754,0.30660474,0.37159047,0.32797962,0.4960152,0.51136327,0.50556856,0.51353514,0.52576447,0.48198396,0.48084924,0.46981993,0.508118,0.48164862,0.52032197,0.34493828,0.3995561,0.36696187,0.3924854,0.33052164,0.3516312,0.34986505,0.39192685,0.35250747,0.3204397,0.231076,0.20653759,0.21890421,0.17629227,0.26624933,0.22320649,0.24557406,0.20362529,0.15780112,0.24069041,0.2677126,0.28266355,0.24521661,0.25256455,0.2762972,0.29129785,0.26709014,0.25809595,0.23743959,0.24462964,0.33068097,0.30662084,0.34657425,0.3311744,0.26282868,0.2846645,0.3320278,0.30507183,0.27174473,0.29149997,0.30925292,0.3488035,0.31692046,0.24604648,0.2801274,0.28386053,0.2936315,0.3517017,0.24023807,0.33710638,0.32214925
0.93154,0.8619593,0.8828847,0.86670417,0.81350076,0.88497585,0.88014054,0.8805645,0.87252337,1.0000001,0.3585678,0.29220012,0.37155142,0.3014927,0.25330067,0.33408752,0.34972388,0.31224844,0.26800656,0.30029184,0.38090748,0.35092038,0.47142896,0.40390313,0.41184223,0.41758096,0.43470287,0.3889318,0.4099017,0.4411253,0.39473793,0.35742602,0.3030774,0.30595532,0.32820478,0.3953735,0.37002555,0.34847388,0.37310243,0.29059058,0.44191632,0.48603055,0.4986559,0.48773843,0.5049119,0.44661844,0.45680225,0.4272327,0.48571748,0.474509,0.49471432,0.36523417,0.40766218,0.35658303,0.38280335,0.32632804,0.36648905,0.35284328,0.4006211,0.38428843,0.36630264,0.2396718,0.17934313,0.2289325,0.13960248,0.23384127,0.20404525,0.20138334,0.16145481,0.16604333,0.2178554,0.28371525,0.29503426,0.26160476,0.2562841,0.28609914,0.31634796,0.28506494,0.26868156,0.2770406,0.2805668,0.30592138,0.27427799,0.27674103,0.3037871,0.22933951,0.29424617,0.31783485,0.3167114,0.24274836,0.2391955,0.32783276,0.32061267,0.29569867,0.30126742,0.28701875,0.28598014,0.29575163,0.34617433,0.23611043,0.30644745,0.3622791
