0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
1.0000002,0.683665,0.9026682,0.6331352,0.61367685,0.6150785,0.67694,0.80872923,0.68034977,0.92005926,0.50778544,0.3603711,0.42310774,0.41652626,0.43543407,0.33452153,0.3024975,0.44253993,0.29122412,0.40996152,0.46917823,0.5794525,0.56626356,0.58986485,0.493144,0.5228059,0.6222327,0.60000336,0.6047329,0.6040669,0.29674006,0.3864121,0.32361925,0.33725065,0.35449192,0.3039234,0.19091018,0.35948503,0.3652598,0.36838165,0.26747835,0.28760424,0.32293773,0.28979462,0.23626214,0.3375844,0.31096888,0.22169496,0.20911399,0.3131759,0.30469665,0.37817445,0.27582532,0.47903505,0.3619163,0.29348,0.32216996,0.4013589,0.39190775,0.28282607,0.15484901,0.27128467,0.30021864,0.19219351,0.20767304,0.31732097,0.31336784,0.3218891,0.16126758,0.2626921
0.683665,1.0000001,0.6830695,0.69329196,0.7000671,0.8421932,0.6354671,0.5931626,0.8959037,0.63865805,0.43941784,0.384344,0.42037848,0.3893473,0.398766,0.32146612,0.31794968,0.43365535,0.29723743,0.42200804,0.44916105,0.4291208,0.37779275,0.43675512,0.30987304,0.44891766,0.45594206,0.48495,0.4616042,0.47783488,0.26486826,0.37922838,0.32486215,0.32837996,0.31261846,0.3197806,0.26476404,0.3134562,0.32000187,0.40332666,0.27920023,0.2108787,0.19101961,0.18874605,0.14679086,0.25092384,0.24732779,0.11166573,0.11243435,0.28535548,0.43918222,0.44471276,0.3917978,0.45023492,0.5030335,0.4315677,0.34317145,0.4526998,0.49437326,0.41448683,0.30169082,0.44754493,0.44184008,0.35185647,0.3808095,0.5400361,0.42976087,0.533805,0.34166166,0.45133373
0.9026682,0.6830695,1.0000001,0.5971865,0.58379936,0.5801306,0.6403591,0.7503364,0.6721806,0.8717688,0.53783524,0.36427158,0.43410677,0.4390225,0.43234497,0.32141173,0.3135974,0.43979257,0.31744298,0.3982415,0.49750212,0.5785447,0.55648386,0.59627235,0.5333289,0.51013964,0.61107737,0.5861208,0.57477283,0.5898362,0.36457357,0.48139805,0.4058399,0.4196907,0.43341088,0.3671905,0.25965163,0.4525341,0.45655906,0.44723743,0.28256974,0.25647366,0.28589678,0.27491271,0.19530232,0.28927258,0.2611185,0.19295873,0.14588034,0.25778395,0.33524626,0.45831394,0.3121912,0.4714947,0.42940053,0.3537784,0.34734616,0.42050081,0.4061233,0.34656188,0.20647472,0.32643217,0.32244247,0.19441147,0.22006297,0.35820115,0.3637238,0.3928984,0.17059663,0.28570318
0.6331352,0.69329196,0.5971865,0.99999994,0.6428722,0.73035693,0.5751037,0.48845774,0.68263555,0.5776756,0.41910934,0.29917884,0.40739205,0.30799314,0.2872562,0.24201457,0.26394373,0.41409326,0.2499254,0.4134574,0.52176034,0.460954,0.44674346,0.44652894,0.385721,0.5509561,0.53457344,0.49363118,0.60866493,0.4583046,0.2984248,0.3596508,0.29372868,0.28587228,0.29102886,0.25684562,0.13449153,0.31106508,0.27610296,0.36256218,0.21829136,0.18010749,0.15363759,0.15213513,0.11403217,0.2709387,0.20512801,0.085889846,0.11464907,0.2463719,0.3396605,0.40575257,0.33652213,0.43900606,0.5283775,0.35322613,0.33338565,0.34749675,0.42804253,0.33046928,0.11781883,0.29632303,0.33968326,0.20867607,0.21098632,0.39722377,0.3390817,0.35242623,0.22930941,0.40116742
0.61367685,0.7000671,0.58379936,0.6428722,1.0,0.81735384,0.6278951,0.59995425,0.7274809,0.59281963,0.44220918,0.41938147,0.41741914,0.35660675,0.33274853,0.26152843,0.2914127,0.37517148,0.2965339,0.39624566,0.43928355,0.29918474,0.4277566,0.31585312,0.3089357,0.4679243,0.38566858,0.37968975,0.40826452,0.3576379,0.28201357,0.3940065,0.320135,0.24962837,0.30324483,0.3368358,0.1876477,0.23610815,0.29096797,0.389839,0.29228157,0.21789241,0.113797456,0.12410953,0.15507263,0.19065848,0.16861917,0.124376304,0.099454105,0.3127447,0.36258408,0.44661057,0.35233617,0.45915672,0.4673278,0.40542743,0.34367287,0.41779,0.4434938,0.29827103,0.17493144,0.32684484,0.44190297,0.3121706,0.22557813,0.41652682,0.38694596,0.41107213,0.2955946,0.36855268
0.6150785,0.8421932,0.5801306,0.73035693,0.81735384,1.0000001,0.6182525,0.56097895,0.83333504,0.5952892,0.34769347,0.34480873,0.3407143,0.2894276,0.3369894,0.23614755,0.22331978,0.30541667,0.21377873,0.37917274,0.4099103,0.30218652,0.32660818,0.3100772,0.22973044,0.44987962,0.36721483,0.39971387,0.39166617,0.34994498,0.20847954,0.34009314,0.2449771,0.21864448,0.24703844,0.28397778,0.19681935,0.19906369,0.2261612,0.36729178,0.25518933,0.2313846,0.08646735,0.11673954,0.098388724,0.1906555,0.17281778,0.10163773,0.09397009,0.35796618,0.35350782,0.4022058,0.3171063,0.41027418,0.42515597,0.39718908,0.26379126,0.38541234,0.4263728,0.3208461,0.184931,0.2991309,0.42705762,0.36385494,0.2940254,0.48803702,0.34367937,0.40841877,0.32735556,0.4275369
0.67694,0.6354671,0.6403591,0.5751037,0.6278951,0.6182525,1.0000001,0.63326377,0.6428695,0.6433884,0.47889575,0.3950919,0.38898847,0.38497397,0.36936352,0.25687596,0.32153708,0.45705512,0.24928336,0.38281927,0.45718712,0.42333037,0.44020635,0.4254051,0.3277622,0.4811743,0.49994895,0.44082782,0.46452942,0.45376736,0.26795432,0.39469957,0.32409152,0.29257566,0.31484035,0.35490984,0.20035061,0.28935853,0.30836818,0.3747187,0.28488362,0.26886442,0.25617453,0.23958625,0.21826914,0.2837708,0.22432761,0.18913633,0.20483783,0.31799817,0.35647488,0.42539784,0.42436817,0.45998287,0.44401434,0.37510112,0.36512437,0.40664735,0.4520832,0.28526294,0.16027062,0.30808488,0.392641,0.23346445,0.19557822,0.40945476,0.35261965,0.381154,0.2203162,0.36135626
0.80872923,0.5931626,0.7503364,0.48845774,0.59995425,0.56097895,0.63326377,1.0000001,0.64417034,0.75976306,0.5243219,0.3274986,0.39955646,0.4514635,0.4924252,0.2944951,0.3566848,0.28484052,0.2926741,0.39601666,0.34237432,0.3741016,0.503384,0.3929977,0.41455334,0.34680143,0.46072096,0.3987561,0.4044018,0.3871936,0.2903392,0.3517308,0.33143085,0.31942755,0.33381438,0.29509664,0.19181186,0.37113687,0.35923234,0.33011392,0.2717193,0.2569777,0.28731066,0.264437,0.24868062,0.3016022,0.27339298,0.26521775,0.20428038,0.2605808,0.3055448,0.37443903,0.36261266,0.46615717,0.28654048,0.37292334,0.40053,0.36936837,0.3678357,0.28190476,0.12279561,0.20359856,0.21405707,0.16714072,0.17892715,0.2719359,0.27374542,0.27156168,0.19973092,0.22224638
0.68034977,0.8959037,0.6721806,0.68263555,0.7274809,0.83333504,0.6428695,0.64417034,0.99999994,0.6373061,0.44778273,0.38837162,0.4127217,0.41018537,0.4238321,0.3478948,0.345597,0.42953897,0.32523507,0.45392343,0.44130176,0.36463243,0.349787,0.39123315,0.26306838,0.42656067,0.42198068,0.42214558,0.4292694,0.41593876,0.26929894,0.3746693,0.3154124,0.28387204,0.29160053,0.29238492,0.24477144,0.2803587,0.33459046,0.38212955,0.29936403,0.27001452,0.19556868,0.1988006,0.18352097,0.26797011,0.25437844,0.17805654,0.14311188,0.31725866,0.39270145,0.40977776,0.357256,0.40857923,0.43732184,0.40670836,0.35106894,0.4228622,0.4411935,0.3183002,0.2379029,0.36175975,0.42298424,0.31509456,0.28368616,0.49179798,0.38735607,0.44907328,0.32985765,0.3910216
0.92005926,0.63865805,0.8717688,0.5776756,0.59281963,0.5952892,0.6433884,0.75976306,0.6373061,0.99999976,0.4769063,0.3295184,0.39815083,0.38979375,0.3806258,0.30580974,0.2558642,0.3793757,0.26113287,0.36006343,0.57379687,0.5710628,0.5552571,0.56426024,0.48322782,0.5156732,0.59273106,0.57691234,0.5565496,0.57096004,0.3076374,0.3841355,0.38788143,0.34462398,0.3583355,0.30685306,0.20711239,0.35725325,0.3657201,0.36950067,0.31049314,0.26745167,0.32159537,0.3004317,0.21813563,0.32687053,0.28694934,0.20699222,0.17274049,0.29539916,0.29620788,0.4388678,0.2739623,0.4605711,0.3706028,0.28819448,0.30635712,0.41573662,0.367692,0.29546413,0.15482627,0.2685736,0.29724696,0.16654657,0.16416268,0.32112586,0.31807178,0.32262644,0.16086562,0.2716601
