0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
1.0000001,0.6120759,0.35441315,0.5810106,0.36276802,0.35056192,0.65331584,0.80527395,0.68855083,0.3983749,0.46099448,0.23649663,0.6238472,0.37133086,0.38309938,0.51876867,0.34642318,0.3801478,0.28842756,0.32337204,0.49059492,0.5073481,0.51780194,0.5216864,0.50143087,0.62655914,0.4727204,0.44285765,0.5395628,0.5024882,0.32051203,0.29100654,0.35596,0.439954,0.3205659,0.28753617,0.10671521,0.25449038,0.3990893,0.16135196,0.370614,0.44955152,0.52005863,0.423284,0.46062934,0.30799848,0.43520382,0.43946677,0.32694164,0.47444853,0.3280177,0.37812886,0.18249647,0.39888528,0.36157244,0.19474916,0.18136992,0.37180892,0.3236866,0.4075214,0.31776682,0.37755767,0.21870849,0.2389393,0.35339978,0.38802716,0.26258284,0.26056123,0.3572231,0.28567985,0.2891255,0.40049684,0.23610659,0.46236718,0.29727364,0.2749304,0.3232572,0.36695144,0.3992918,0.4385109
0.6120759,1.0000002,0.38159177,0.41299018,0.47131056,0.435051,0.45714054,0.540044,0.43219113,0.5652114,0.38313422,0.37229788,0.57099104,0.48041898,0.5391922,0.41970554,0.41806486,0.39325228,0.4294029,0.40740097,0.5264817,0.6009503,0.5982515,0.6228768,0.5733201,0.59826434,0.6112022,0.60596484,0.52148026,0.573207,0.2100055,0.18277563,0.22810873,0.23889253,0.24565582,0.21984768,0.097690314,0.33006427,0.28576612,0.23463516,0.41191554,0.60118073,0.42251134,0.5790308,0.47945112,0.36672217,0.5191189,0.4921709,0.424326,0.42487404,0.33415407,0.3543568,0.22090153,0.45946646,0.29054233,0.3761322,0.2131962,0.31734538,0.41692078,0.47277513,0.38115916,0.3942474,0.28236988,0.37275,0.42089564,0.39533517,0.31662008,0.33031294,0.40600476,0.3261234,0.38789907,0.3998293,0.3014231,0.43106425,0.2640008,0.3371261,0.41143802,0.33477172,0.41700047,0.47120196
0.35441315,0.38159177,1.0,0.53757817,0.5748792,0.64967275,0.18523522,0.21153706,0.27866614,0.7082848,0.14021374,0.36376482,0.3231112,0.379619,0.33050394,0.17315254,0.47999322,0.5520626,0.42055833,0.4113232,0.17207618,0.18370825,0.2474512,0.21167307,0.21313477,0.2404627,0.19213319,0.23295885,0.20763879,0.2344661,0.2777225,0.20836645,0.31100842,0.28912565,0.34209132,0.2941584,0.33649936,0.4206676,0.37474328,0.39443856,0.32103834,0.42142507,0.51100177,0.45301706,0.43580735,0.3853698,0.46088633,0.33107692,0.32171237,0.5185913,0.3116656,0.37871677,0.2854495,0.34109357,0.38220477,0.34241265,0.3547177,0.32172006,0.3707356,0.41333386,0.580364,0.45342314,0.569922,0.39278248,0.58734924,0.4243385,0.4692301,0.5588681,0.43788603,0.47611117,0.41880828,0.4760752,0.40298262,0.5653603,0.4159765,0.4308255,0.4035623,0.500796,0.37787464,0.40783882
0.5810106,0.41299018,0.53757817,1.0000001,0.5006587,0.53689224,0.56485426,0.51301616,0.5568254,0.5786036,0.31186163,0.3093014,0.18735911,0.46771294,0.3474229,0.4056328,0.4758594,0.45582703,0.48244452,0.42615768,0.18568611,0.22161257,0.22818238,0.24427459,0.2148534,0.32383412,0.18809688,0.22375718,0.18265802,0.22156267,0.16908887,0.13585736,0.17393373,0.24137348,0.2019986,0.18638684,0.1395973,0.2956563,0.29154015,0.2554705,0.2824418,0.37321383,0.3673931,0.3459167,0.2951086,0.26167268,0.39608803,0.29759663,0.22927547,0.37768283,0.23638162,0.28184596,0.17007805,0.2357766,0.22074057,0.22987095,0.22091804,0.21227574,0.2711072,0.2598042,0.4746895,0.5659479,0.54604423,0.38561493,0.47971275,0.43412134,0.40928215,0.49364245,0.5697903,0.42049444,0.29397532,0.430704,0.34802496,0.56701475,0.41322625,0.32384148,0.39718828,0.3421652,0.41429195,0.43842188
0.36276802,0.47131056,0.5748792,0.5006587,1.0,0.6164945,0.25651407,0.25511733,0.35295275,0.5845509,0.16576427,0.6596775,0.275263,0.43080854,0.41028312,0.2249622,0.37202,0.32271406,0.34280756,0.3013358,0.21986549,0.2861787,0.32555863,0.28348127,0.28469497,0.2521247,0.24952348,0.3185964,0.21688916,0.25519007,0.29843068,0.23017167,0.2902001,0.3063266,0.24744552,0.2969599,0.36130196,0.5391535,0.33203018,0.5237971,0.28121814,0.48539278,0.449636,0.48333156,0.38450953,0.2812728,0.3550244,0.32706505,0.28264487,0.41747805,0.31060833,0.36933357,0.28810847,0.31457883,0.35380512,0.62256485,0.40314782,0.3470823,0.372457,0.42981675,0.4176181,0.48501882,0.37192866,0.30082643,0.47145048,0.32536787,0.3009954,0.42129946,0.51705545,0.29603773,0.31460118,0.3509264,0.31006518,0.45749614,0.3084687,0.2980162,0.3701971,0.30328974,0.3856431,0.39875084
0.35056192,0.435051,0.64967275,0.53689224,0.6164945,1.0000001,0.20061983,0.26851508,0.29453722,0.7491073,0.15858664,0.50658745,0.27780253,0.43043038,0.35435826,0.1376327,0.45412824,0.41456306,0.39228344,0.39340028,0.19165051,0.24326305,0.29600847,0.2583273,0.27406812,0.2505297,0.2590369,0.28882733,0.23391935,0.25431252,0.29077289,0.21219367,0.2944648,0.30520314,0.29832244,0.2879227,0.33194184,0.49998337,0.3623101,0.47110602,0.30851367,0.4627179,0.44799307,0.46662247,0.40048128,0.33704367,0.46924147,0.37555206,0.34265855,0.5035756,0.3474017,0.39195782,0.2671379,0.3735893,0.39102083,0.43038926,0.38450924,0.37963024,0.40056616,0.38691825,0.589091,0.50080377,0.5021653,0.39835575,0.61838114,0.4974493,0.45599657,0.49862158,0.48342958,0.44943988,0.35169026,0.46122363,0.40902618,0.52192897,0.34595996,0.36047578,0.4725694,0.3888969,0.4170565,0.45926377
0.65331584,0.45714054,0.18523522,0.56485426,0.25651407,0.20061983,1.0000002,0.6531359,0.70705616,0.22685182,0.51279855,0.14635675,0.32199854,0.31612408,0.38779917,0.7051069,0.27137476,0.37215295,0.25995946,0.29615408,0.40183046,0.38543808,0.38607663,0.42594647,0.36525425,0.51280105,0.35598272,0.32112622,0.34237477,0.37367603,0.2503382,0.22615732,0.24352638,0.3564502,0.30965036,0.23475966,0.033486597,0.22524615,0.34331694,0.1351548,0.3215736,0.32193726,0.28884774,0.26976416,0.24216813,0.22966516,0.31955382,0.33854747,0.22702022,0.26599577,0.23385695,0.3015205,0.090889126,0.31294808,0.25844282,0.14384043,0.119188204,0.2678495,0.31074458,0.38329008,0.16417696,0.3139557,0.116958246,0.18618408,0.25072676,0.248075,0.17264016,0.21593323,0.298395,0.23038886,0.23243839,0.29015177,0.18438996,0.30930164,0.1720571,0.16904627,0.2063467,0.22933197,0.28749302,0.31838506
0.80527395,0.540044,0.21153706,0.51301616,0.25511733,0.26851508,0.6531359,1.0000002,0.63759,0.26160958,0.570873,0.21423563,0.5563633,0.30189264,0.37217355,0.6089229,0.2862542,0.38911736,0.2590574,0.3312682,0.43783778,0.43233687,0.43671972,0.4497787,0.47312766,0.54773444,0.3886594,0.38270646,0.4251148,0.43799624,0.2885123,0.29497087,0.30619267,0.3751061,0.31023836,0.2581404,0.07236424,0.21567649,0.34394598,0.11331577,0.35137513,0.380243,0.36217815,0.3586652,0.34915203,0.28357288,0.34604728,0.3889196,0.2936961,0.3225304,0.29352236,0.3625726,0.16150019,0.38337567,0.30427048,0.23633419,0.18390393,0.3367207,0.32829416,0.37705097,0.22982955,0.33580795,0.16010182,0.27741176,0.298312,0.32953253,0.23148827,0.27642822,0.26777604,0.26183224,0.2833857,0.33544105,0.22140545,0.3447445,0.21743225,0.24686354,0.2728783,0.3311259,0.38092503,0.39151078
0.68855083,0.43219113,0.27866614,0.5568254,0.35295275,0.29453722,0.70705616,0.63759,1.0,0.30052042,0.45217115,0.23971316,0.42931968,0.341062,0.39717826,0.6804108,0.27903813,0.41437015,0.2736467,0.34403005,0.427193,0.40804505,0.42622772,0.42564693,0.39055863,0.47859353,0.36918432,0.35542357,0.46748152,0.40317264,0.33216,0.31759834,0.37432182,0.41058293,0.2943716,0.27280727,0.09035657,0.26379368,0.382118,0.1907815,0.34758362,0.4035851,0.48753327,0.36609024,0.39766666,0.2792498,0.3846971,0.3878916,0.30271405,0.36960715,0.24046102,0.29889983,0.15847518,0.2812569,0.33447272,0.20819256,0.16072525,0.34395662,0.2767917,0.3652119,0.20824148,0.3124628,0.14094366,0.19695804,0.28413787,0.24266262,0.24757984,0.24352121,0.27176213,0.2886126,0.26226082,0.34540343,0.22934178,0.3210486,0.2865231,0.28054222,0.24663663,0.33806816,0.34754518,0.33123806
0.3983749,0.5652114,0.7082848,0.5786036,0.5845509,0.7491073,0.22685182,0.26160958,0.30052042,1.0000001,0.15667783,0.4907705,0.3975984,0.45687744,0.3871956,0.16041534,0.55437493,0.475898,0.44869646,0.43546647,0.27393204,0.32843637,0.38940805,0.35460648,0.35517344,0.32553646,0.35226756,0.37875265,0.3293127,0.34655362,0.230396,0.12503058,0.23646414,0.1936333,0.25988215,0.23643616,0.2762157,0.4631861,0.29749405,0.4071992,0.33679682,0.5349776,0.50032294,0.56148016,0.47011343,0.34796187,0.5392459,0.39198148,0.33981037,0.5174836,0.26067922,0.2895857,0.22340457,0.36729544,0.27232704,0.35117975,0.28434762,0.26642027,0.33672872,0.35693297,0.7080004,0.5122575,0.6121344,0.41206124,0.64157283,0.55347383,0.5286853,0.53794086,0.56544006,0.473383,0.4212633,0.45724577,0.441003,0.5442411,0.3341709,0.40998778,0.54959375,0.4085891,0.4435981,0.4363674
