0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
1.0,0.69580114,0.7140335,0.8109741,0.7529369,0.7412688,0.78309524,0.6209604,0.82312036,0.72152203,0.5974458,0.5875503,0.560476,0.569717,0.59094894,0.5041831,0.5566626,0.5799178,0.6656094,0.5888163,0.4845789,0.6268939,0.49133658,0.5721119,0.48816362,0.48833767,0.55475664,0.43527225,0.55913585,0.6191255,0.39297423,0.5906126,0.33368295,0.4664693,0.5967242,0.5571188,0.5086537,0.43000868,0.47703683,0.46194923,0.6335124,0.59642506,0.6671439,0.65676147,0.6723939,0.5896035,0.55365795,0.56896394,0.6358669,0.5714884,0.36219075,0.41347152,0.42589203,0.4126234,0.44025868,0.3125932,0.42971456,0.39961812,0.44775522,0.27884194,0.49695334,0.52850354,0.48977187,0.3951665,0.51689726,0.41165257,0.4879212,0.48236525,0.48184296,0.42097217,0.49093506,0.41068205,0.41200924,0.38079578,0.4026604,0.5041533,0.4465637,0.45702338,0.45252803,0.39364174,0.3726065,0.47032866,0.39969128,0.41454768,0.34193477,0.38891825,0.33711928,0.43473554,0.37518808,0.42609432,0.38186038
0.69580114,1.0000001,0.7506977,0.6900947,0.76482046,0.72276294,0.73076874,0.64267576,0.6691778,0.7909716,0.5771428,0.53069407,0.5285624,0.53672063,0.55563045,0.46289396,0.518762,0.6006996,0.638624,0.5832106,0.41361493,0.5242179,0.42801705,0.49838224,0.45471215,0.45623448,0.48225817,0.3672324,0.45408973,0.50451696,0.36363223,0.47869512,0.4111928,0.48502517,0.539255,0.51833636,0.4634178,0.3556203,0.47222704,0.4688097,0.6061612,0.5199925,0.5869798,0.6014683,0.60860366,0.57519096,0.5779704,0.58071756,0.59685445,0.5911309,0.39087,0.48361158,0.49282917,0.50199276,0.50308514,0.38743788,0.45715454,0.42393595,0.44997364,0.3218091,0.43738353,0.50972295,0.47517377,0.4581207,0.50311846,0.44474164,0.5140238,0.4223796,0.46590465,0.44124457,0.50541073,0.43730316,0.35213888,0.39361018,0.3935698,0.46556434,0.3708891,0.4137011,0.48901916,0.4121235,0.4370057,0.4993122,0.42633834,0.44583404,0.42423368,0.4315668,0.41466248,0.48391154,0.42822382,0.42407972,0.42214572
0.7140335,0.7506977,1.0000001,0.7489775,0.78739715,0.7534692,0.81356984,0.6482779,0.6817211,0.68623203,0.6159346,0.6701162,0.6006089,0.5933255,0.6652783,0.49844688,0.5840847,0.63881105,0.69421816,0.6054349,0.4977639,0.593163,0.47911075,0.5752133,0.5710302,0.5340736,0.5246678,0.484182,0.6093949,0.59199417,0.42776006,0.5239999,0.40944132,0.5359002,0.56839687,0.5257933,0.50508386,0.48239535,0.55673766,0.51414746,0.61430526,0.5865611,0.6602242,0.7262253,0.7113587,0.6161931,0.57936954,0.64338726,0.6734755,0.6694857,0.45552832,0.5126566,0.53790337,0.5137947,0.521797,0.41518754,0.484383,0.52088207,0.5348045,0.32199946,0.53820723,0.539507,0.60107404,0.48757952,0.5626527,0.47702307,0.5673072,0.47925007,0.54761094,0.5130542,0.5738579,0.483987,0.42081758,0.42931566,0.51741254,0.5595229,0.5147264,0.48283786,0.5611915,0.4536599,0.4910472,0.58970416,0.5230313,0.51191294,0.47420472,0.5031037,0.46009785,0.5467903,0.4913245,0.50064343,0.4730553
0.8109741,0.6900947,0.7489775,1.0,0.8156125,0.7554562,0.79892236,0.61613697,0.8648077,0.72230566,0.60334367,0.6368408,0.56435853,0.5738532,0.6321425,0.4876248,0.54660636,0.6205095,0.647932,0.5855388,0.554212,0.57785755,0.5076218,0.5797343,0.54177564,0.5423307,0.5641128,0.49604183,0.5754345,0.59227616,0.41974148,0.55883,0.42134386,0.57236254,0.60750693,0.5168294,0.5554368,0.51093304,0.54097676,0.569,0.57432044,0.5475211,0.57920134,0.64288783,0.6147762,0.5331148,0.48927996,0.6014003,0.64545476,0.63038915,0.4339814,0.43911165,0.4913108,0.47471276,0.48059487,0.38373643,0.48480156,0.49509585,0.4980747,0.2654378,0.48851362,0.53857404,0.5377372,0.4545337,0.52046406,0.4719848,0.5504799,0.5107897,0.5463337,0.481989,0.5551294,0.5067207,0.47836873,0.45807377,0.47603858,0.5083734,0.52983147,0.47155455,0.51802754,0.47028515,0.36915508,0.47992042,0.41737172,0.4051044,0.34551984,0.39144865,0.33299115,0.46095774,0.39388353,0.422233,0.41856432
0.7529369,0.76482046,0.78739715,0.8156125,1.0,0.7483402,0.8228749,0.70583695,0.75102675,0.77534074,0.6080278,0.638349,0.5638963,0.5713644,0.65979767,0.52710426,0.57371336,0.6161785,0.6760476,0.59081745,0.5014045,0.60230535,0.47342458,0.5357857,0.55561227,0.5058091,0.521228,0.46714184,0.58690214,0.6334609,0.4281435,0.5559841,0.4458109,0.5600692,0.57919586,0.51870775,0.53833723,0.45775557,0.5931611,0.5008856,0.63112634,0.526282,0.64788383,0.6809908,0.6467378,0.5647871,0.5454382,0.6532922,0.6850872,0.6828605,0.43773708,0.52724147,0.50772154,0.52093285,0.50391686,0.44107717,0.4905494,0.5015896,0.53143185,0.25793636,0.5503978,0.57821417,0.57700753,0.53038245,0.5584256,0.55277103,0.59735227,0.54488236,0.56365377,0.4972026,0.5352231,0.44829157,0.44962475,0.4272522,0.48838165,0.5176837,0.488995,0.49552298,0.57574356,0.4647155,0.46561682,0.5250754,0.5035613,0.48505008,0.47337255,0.49424908,0.46028787,0.5063992,0.47248495,0.5234535,0.4822996
0.7412688,0.72276294,0.7534692,0.7554562,0.7483402,1.0,0.74069715,0.630103,0.7125322,0.7232395,0.6253046,0.64498425,0.60988647,0.58887535,0.6200252,0.46751782,0.56945753,0.6459785,0.6663204,0.5960437,0.4722339,0.5281161,0.42707312,0.5333352,0.53480893,0.4939968,0.55360293,0.4204587,0.50911915,0.5470016,0.40322393,0.4536731,0.3589229,0.52098596,0.5832763,0.44401294,0.5001491,0.456242,0.4897525,0.5184572,0.62790394,0.60790116,0.62626374,0.70222026,0.6812249,0.62635016,0.57952845,0.5999321,0.7014507,0.6454298,0.40246662,0.432495,0.5256299,0.43734428,0.4793739,0.3383204,0.41749915,0.48837566,0.49864042,0.27021134,0.5048812,0.59679496,0.5532124,0.46829954,0.58579457,0.4662804,0.5648806,0.5630714,0.57898086,0.49962947,0.5357427,0.5049852,0.47011405,0.46827978,0.44944885,0.560312,0.48761868,0.4365501,0.55243695,0.46799135,0.39323524,0.4863193,0.45461193,0.4223526,0.363711,0.40919238,0.3512805,0.46113247,0.39371675,0.45693558,0.40154046
0.78309524,0.73076874,0.81356984,0.79892236,0.8228749,0.74069715,0.9999999,0.69479895,0.7266013,0.7110706,0.65982044,0.66850257,0.5924118,0.61049724,0.6520335,0.51129806,0.553465,0.6528936,0.6682313,0.5976349,0.51209426,0.6304114,0.4602316,0.57049704,0.5567758,0.53626347,0.5320045,0.4537152,0.61757064,0.6406817,0.41537037,0.5323964,0.37595567,0.5043663,0.5786942,0.561254,0.46586615,0.46185052,0.543555,0.45507544,0.63490963,0.5849713,0.67434734,0.6930849,0.691339,0.6007713,0.533355,0.69031715,0.70805687,0.6505985,0.4346502,0.5179194,0.5344379,0.5288133,0.5107922,0.3960113,0.47722247,0.504837,0.53645885,0.22952385,0.4879809,0.5539218,0.5175685,0.4854604,0.50002795,0.4569998,0.5445561,0.4592921,0.5189199,0.43701124,0.53891623,0.48960033,0.4416302,0.42359337,0.48920363,0.5108221,0.4715469,0.49953282,0.5587959,0.47243848,0.506819,0.5676862,0.5039893,0.52076983,0.47665104,0.50945663,0.47733212,0.55866253,0.52789634,0.5208174,0.5088783
0.6209604,0.64267576,0.6482779,0.61613697,0.70583695,0.630103,0.69479895,1.0000002,0.5660161,0.59188676,0.551635,0.59852993,0.56751007,0.53223246,0.60181147,0.43735188,0.52504176,0.579754,0.49574712,0.56381404,0.3900208,0.49576172,0.34427887,0.45443198,0.4907155,0.4118083,0.41244313,0.33505356,0.47209075,0.49705485,0.35560063,0.3857893,0.30585098,0.35598356,0.48573536,0.44247973,0.36607638,0.30027717,0.39314505,0.3146616,0.5751785,0.46957263,0.5667579,0.6083351,0.59194624,0.5112698,0.46581262,0.6307968,0.5916475,0.6040093,0.38054898,0.5205371,0.42384416,0.44697315,0.40708974,0.38217545,0.46248743,0.43709368,0.45000467,0.2340804,0.4393726,0.4820262,0.4460138,0.41344914,0.45436957,0.38873273,0.43309984,0.4105547,0.44483835,0.3757865,0.4012375,0.29951203,0.25811613,0.2874406,0.32315958,0.36878964,0.3926134,0.3977784,0.39527857,0.2665139,0.5096472,0.50958675,0.5347086,0.5273469,0.52642787,0.54914415,0.5272535,0.48751053,0.47300532,0.47352874,0.50034726
0.82312036,0.6691778,0.6817211,0.8648077,0.75102675,0.7125322,0.7266013,0.5660161,1.0000002,0.7026259,0.6060559,0.55737185,0.5511233,0.53177655,0.6037296,0.49251643,0.5477183,0.58612883,0.6222941,0.58734447,0.5542024,0.60624874,0.5207191,0.57646334,0.5422162,0.5664242,0.5818095,0.4910757,0.5655837,0.58726317,0.43727344,0.554334,0.38817784,0.5567834,0.591964,0.5054163,0.5460936,0.40868133,0.5302317,0.5183137,0.58213603,0.51812494,0.55265087,0.59890676,0.6151202,0.5382242,0.49849358,0.5063319,0.6096089,0.5162951,0.33354923,0.39019933,0.39059073,0.3882566,0.39756754,0.2931778,0.3943457,0.40388092,0.4165992,0.19878943,0.47491562,0.5095629,0.47061965,0.43317023,0.49049985,0.44181848,0.53418684,0.46785975,0.5174022,0.4585216,0.46878806,0.40893558,0.4558355,0.41072443,0.41690975,0.45170143,0.4573829,0.40179816,0.45987555,0.45333457,0.32561085,0.4152356,0.3613186,0.34937963,0.33252496,0.35524535,0.33826146,0.38507095,0.35901734,0.41124055,0.36909345
0.72152203,0.7909716,0.68623203,0.72230566,0.77534074,0.7232395,0.7110706,0.59188676,0.7026259,1.0000001,0.6127865,0.5622292,0.5950664,0.5575693,0.579366,0.5117968,0.5501942,0.6228095,0.69839656,0.6231509,0.44879583,0.5224935,0.41283348,0.5020252,0.47795233,0.44924897,0.5126169,0.4110287,0.4578742,0.48989335,0.39836562,0.46813834,0.36311173,0.47928023,0.565358,0.47695437,0.48175782,0.3936034,0.4845599,0.46973068,0.61507976,0.56078255,0.56975,0.59255815,0.5878619,0.57400113,0.5427686,0.566879,0.6054371,0.59240174,0.39677015,0.45496812,0.45112205,0.46747762,0.46194765,0.3975982,0.44848138,0.4658058,0.4691233,0.2899167,0.517796,0.523347,0.5559452,0.47334123,0.5430327,0.47915304,0.52103007,0.47444507,0.52013445,0.4468851,0.5021258,0.45224327,0.39546484,0.443501,0.40140608,0.47983956,0.39880612,0.43986517,0.53684574,0.42993385,0.42081666,0.49000093,0.4201715,0.4379019,0.4051718,0.4278019,0.3928482,0.48910993,0.42233506,0.4349118,0.4023102
